topic_id,gini_impurity_adopters,gini_impurity_lambda_frontiers,gini_impurity_lambda_non_adopters,num_communities_adopters,num_communities_lambda_frontiers,num_communities_lambda_non_adopters,overlap_adopters_lambda_frontiers,overlap_adopters_lambda_non_adopters,overlap_lambda_frontiers_lambda_non_adopters,avg_time_to_adoption,virality,delta_t
7182,0.0,0.0,0.0,1,1,1,1,1,1,151.57929012345681,1,16875.71638888889
7192,0.4600000000000001,0.2777777777777777,0.5904145991176546,3,2,3,2,3,2,908.0151851851851,0,
7194,0.0,0.0,0.0,1,1,1,1,1,1,10.949135802469137,1,952.3897222222222
7195,0.31999999999999984,0.0,0.4712734616344366,2,1,4,1,2,1,152.43666666666667,0,
7221,0.54,0.625,0.2552519626332178,3,3,3,3,2,2,14.590555555555556,1,762.8302777777777
7222,0.17999999999999994,0.0,0.17553757088846889,2,1,4,1,2,1,12.117901234567901,1,15465.041388888889
7224,0.4600000000000001,0.375,0.6754672926369414,3,2,4,2,3,2,557.4113580246914,0,
7225,0.33999999999999986,0.375,0.18127860771590976,3,2,3,2,3,2,16.865617283950616,1,969.5355555555556
7228,0.17999999999999994,0.0,0.14544378698224836,2,1,4,1,2,1,203.30382716049382,1,19112.255
7229,0.0,0.0,0.08479532163742687,1,1,3,1,1,1,365.23648148148146,0,
7232,0.33999999999999986,0.56,0.585619253650622,3,3,4,3,3,3,21.053179012345677,0,
7238,0.5,0.0,0.5433677695977935,2,1,4,1,2,1,13.38320987654321,1,992.9316666666666
7239,0.0,0.0,0.0,1,1,1,1,1,1,23.74854938271605,1,8713.29361111111
7250,0.17999999999999994,0.0,0.12941683424303363,2,1,4,1,2,1,162.10157407407405,1,2151.240277777778
7252,0.17999999999999994,0.0,0.31275720164609055,2,1,3,1,1,1,29.072716049382716,1,2746.6841666666664
7253,0.48,0.375,0.5109754713460462,2,2,4,2,2,2,87.02216049382716,0,
7272,0.0,0.0,0.0,1,1,1,1,1,1,11.329166666666667,1,556.5172222222222
7278,0.33999999999999986,0.0,0.5400460264349196,3,1,4,1,3,1,528.0843827160494,0,
7286,0.6399999999999999,0.4444444444444444,0.5499921133732923,3,2,4,2,3,2,373.80691358024694,0,
7287,0.17999999999999994,0.0,0.13094530321046371,2,1,4,1,2,1,244.47626543209876,1,3436.971666666667
7293,0.4600000000000001,0.375,0.32131539804695075,3,2,4,2,3,2,92.29641975308643,1,1133.8166666666666
7298,0.6399999999999999,0.6111111111111112,0.7016367171118147,3,3,4,3,3,3,32.96898148148148,0,
7300,0.58,0.48979591836734704,0.564921540062435,3,2,5,2,3,2,247.94478395061728,0,
7316,0.31999999999999984,0.31999999999999984,0.15406382160707432,2,2,4,2,2,2,40.17907407407407,0,
7318,0.33999999999999986,0.0,0.6093127863390254,3,1,4,1,3,1,582.0528395061729,0,
7323,0.17999999999999994,0.0,0.0,2,1,1,1,1,1,191.22175925925927,0,
7324,0.0,0.0,0.0,1,1,0,1,0,0,8.45645061728395,1,1321.253611111111
7337,0.0,0.0,0.11273404568179601,1,1,3,1,1,1,166.1091049382716,1,7319.625277777778
7342,0.0,0.0,0.0,1,1,1,1,1,1,30.08506172839506,1,3037.4527777777776
7343,0.54,0.48,0.5647597001763669,3,2,3,2,3,2,18.464166666666667,0,
7345,0.31999999999999984,0.31999999999999984,0.20112840225680462,2,2,3,2,2,2,168.24827160493825,1,4618.486111111111
7350,0.0,0.0,0.0,1,1,1,1,1,1,37.947932098765435,1,15280.47388888889
7377,0.4600000000000001,0.0,0.4385621426893257,3,1,4,1,3,1,1707.545462962963,0,
7393,0.58,0.375,0.6553248750480585,3,2,4,2,3,2,1374.7916975308642,0,
7397,0.0,0.0,0.0,1,1,1,1,1,1,41.75283950617284,1,14891.217777777778
7469,0.42000000000000004,0.48,0.5463925399118768,2,2,4,2,2,2,192.18595679012347,0,
7478,0.42000000000000004,0.31999999999999984,0.5913263129232516,2,2,4,2,2,2,22.852253086419754,0,
7508,0.31999999999999984,0.48,0.5189369806094183,2,2,4,2,2,2,191.58555555555554,0,
7545,0.17999999999999994,0.0,0.20988331114417724,2,1,4,1,2,1,276.38848765432095,1,5418.999722222222
7546,0.0,0.0,0.0,1,1,1,1,1,1,103.6744135802469,1,12590.176388888889
7568,0.31999999999999984,0.48,0.47477442713935025,2,2,4,2,2,2,113.4751851851852,0,
7572,0.42000000000000004,0.0,0.5899849975120564,2,1,4,1,2,1,58.25243827160494,0,
7574,0.56,0.625,0.41134951845227674,3,3,3,3,3,3,42.92188271604938,0,
7580,0.54,0.375,0.5238146656999914,3,2,4,2,3,2,13.579598765432099,0,
7581,0.4600000000000001,0.40816326530612246,0.203076656518403,3,2,4,2,3,2,36.29811728395062,1,6090.541944444444
7587,0.0,0.0,0.5035787568868855,1,1,3,1,1,1,11.922098765432098,0,
7589,0.42000000000000004,0.4444444444444444,0.41268180239959873,2,2,4,2,2,2,222.63604938271604,0,
7599,0.17999999999999994,0.0,0.15500000000000014,2,1,3,1,1,1,161.6461111111111,1,12358.437777777777
7600,0.5,0.5,0.4478572178845279,2,2,4,2,2,2,188.04558641975308,0,
7601,0.48,0.0,0.42873982573774605,2,0,4,0,2,0,126.06611111111111,0,
7605,0.7,0.7222222222222222,0.5868577451440617,4,4,5,4,4,4,59.209012345679014,0,
7608,0.42000000000000004,0.375,0.546988282800913,2,2,4,2,2,2,78.39259259259259,0,
7609,0.0,0.0,0.0,1,1,1,1,1,1,7.224907407407407,1,1258.5144444444445
7614,0.54,0.4444444444444444,0.5552045824759946,3,2,4,2,3,2,77.99891975308643,0,
7620,0.4600000000000001,0.40816326530612246,0.5477142716648363,3,2,3,2,3,2,12.183765432098765,0,
7621,0.5,0.375,0.6134619050607357,2,2,4,2,2,2,23.876944444444444,0,
7631,0.42000000000000004,0.40816326530612246,0.5275469375192368,2,2,4,2,2,2,379.9207098765432,0,
7645,0.42000000000000004,0.4444444444444444,0.4864418265327095,2,2,4,2,2,2,19.5329012345679,1,815.3694444444444
7649,0.62,0.5,0.5861242936717006,3,2,4,2,3,2,18.204413580246914,0,
7651,0.17999999999999994,0.0,0.13202268431001896,2,1,4,1,2,1,122.2262037037037,1,10467.845
7653,0.72,0.375,0.6413272042642673,4,2,4,2,4,2,85.665,0,
7654,0.0,0.0,0.08818866428854544,1,1,3,1,1,1,45.95432098765432,1,914.4966666666667
7655,0.62,0.0,0.5450617798139663,3,1,4,1,3,1,46.801141975308646,1,2003.3391666666666
7663,0.42000000000000004,0.0,0.5853939799629053,2,1,4,1,2,1,15.67685185185185,0,
7683,0.58,0.375,0.5643958032412184,3,2,3,2,3,2,8.090092592592592,0,
7684,0.58,0.5,0.578598286715168,3,2,3,2,3,2,17.080339506172837,0,
7685,0.48,0.5,0.5602309520191855,2,2,4,2,2,2,22.67898148148148,0,
7686,0.7,0.0,0.48759077029733133,4,1,5,1,4,1,23.213333333333335,1,2216.4422222222224
7687,0.17999999999999994,0.0,0.23959094229364486,2,1,3,1,1,1,139.2492901234568,1,9459.075833333334
7688,0.62,0.31999999999999984,0.5086131402452048,3,2,3,2,3,2,20.065185185185186,0,
7689,0.7,0.625,0.6018201920517599,4,3,5,3,4,3,19.522716049382716,1,863.64
7690,0.4600000000000001,0.4444444444444444,0.5923274713496983,3,2,4,2,3,2,5.375308641975308,0,
7691,0.62,0.4444444444444444,0.5710322971739015,3,2,5,2,3,2,104.4120987654321,0,
7692,0.0,0.0,0.0,1,1,1,1,1,1,55.48719135802469,1,1080.3691666666666
7694,0.58,0.5,0.5823114669421487,3,2,4,2,3,2,106.15947530864197,0,
7695,0.17999999999999994,0.31999999999999984,0.44359665360639977,2,2,3,2,2,2,11.962993827160494,1,760.6605555555556
7698,0.62,0.5,0.536183488664155,3,2,3,2,3,2,71.62052469135801,0,
7699,0.17999999999999994,0.0,0.050851745656940395,2,1,3,1,2,1,120.53604938271604,0,
7700,0.62,0.6666666666666667,0.6156120867768595,3,3,5,3,3,3,46.45388888888889,0,
7701,0.6599999999999999,0.0,0.6291481882098432,4,1,5,1,4,1,52.10666666666667,0,
7702,0.42000000000000004,0.0,0.37753903785871645,2,1,3,1,2,1,23.59777777777778,1,1124.4608333333333
7704,0.42000000000000004,0.4444444444444444,0.4461299615095028,2,2,4,2,2,2,14.082777777777778,1,582.3813888888889
7705,0.17999999999999994,0.0,0.15500000000000014,2,1,3,1,1,1,21.0470987654321,1,7901.144722222222
7706,0.0,0.0,0.0,1,1,1,1,1,1,58.52453703703704,1,5120.7827777777775
7708,0.17999999999999994,0.0,0.12438111339210234,2,1,3,1,1,1,244.37743827160494,1,6623.736944444445
7709,0.4600000000000001,0.40816326530612246,0.568934990506587,3,2,4,2,3,2,72.12879629629629,0,
7710,0.42000000000000004,0.40816326530612246,0.5478670082423702,2,2,3,2,2,2,181.97435185185185,0,
7712,0.0,0.0,0.4465685831807621,1,1,3,1,1,1,109.49077160493826,0,
7714,0.17999999999999994,0.0,0.19376181474480159,2,1,2,1,2,1,232.50858024691357,0,
7716,0.17999999999999994,0.0,0.18846611177170025,2,1,3,1,2,1,97.57277777777777,0,
7717,0.17999999999999994,0.0,0.1567149375123984,2,1,3,1,1,1,27.85854938271605,1,5057.850277777778
7718,0.17999999999999994,0.0,0.3677685950413223,2,1,3,1,1,1,30.471975308641976,1,1637.5611111111111
7719,0.7,0.65625,0.6665414066159091,4,3,4,3,4,3,54.99645061728395,0,
7720,0.17999999999999994,0.0,0.0,2,1,1,1,1,1,39.85623456790123,1,1532.4794444444444
7721,0.17999999999999994,0.0,0.21760000000000002,2,1,3,1,1,1,45.47527777777778,1,3726.0955555555556
7722,0.31999999999999984,0.0,0.07731200000000005,2,1,3,1,2,1,708.3739506172839,0,
7723,0.0,0.0,0.0,1,1,1,1,1,1,14.104876543209876,1,5763.304722222222
7724,0.0,0.0,0.0,1,1,1,1,1,1,138.58166666666668,1,3353.6719444444443
7725,0.0,0.0,0.043773668968589696,1,1,2,1,1,1,196.96268518518517,1,9226.366944444444
7726,0.4600000000000001,0.48,0.20477881731872138,3,2,4,2,3,2,29.85429012345679,1,8802.101111111111
7727,0.48,0.31999999999999984,0.5493902389549272,2,2,4,2,2,2,13.644753086419753,0,
7728,0.17999999999999994,0.0,0.1763668430335097,2,1,3,1,2,1,19.554043209876546,1,10137.125833333334
7730,0.58,0.375,0.5498344578743202,3,2,5,2,3,2,209.395,0,
7731,0.5,0.375,0.4864418265327095,2,2,4,2,2,2,30.391141975308642,0,
7734,0.42000000000000004,0.0,0.5112666958697443,2,1,4,1,2,1,122.5266049382716,0,
7735,0.42000000000000004,0.4444444444444444,0.47489408327246163,2,2,4,2,2,2,64.72762345679013,0,
7736,0.48,0.4444444444444444,0.5525236266899161,2,2,4,2,2,2,30.02317901234568,0,
7740,0.58,0.5,0.48107340720221603,3,2,4,2,3,2,29.650246913580247,1,993.8816666666667
7742,0.0,0.0,0.0,1,1,1,1,1,1,120.75462962962963,1,6733.666111111111
7745,0.17999999999999994,0.0,0.5095675425975934,2,1,4,1,2,1,237.38055555555556,0,
7746,0.0,0.0,0.028362921173852307,1,1,2,1,1,1,79.54913580246914,1,1847.5336111111112
7748,0.33999999999999986,0.0,0.0,3,1,0,1,0,0,404.6540740740741,0,
7750,0.17999999999999994,0.0,0.16435986159169558,2,1,3,1,2,1,13.957623456790124,1,1941.01
7758,0.0,0.0,0.0,1,1,1,1,1,1,14.842191358024692,1,3108.468611111111
7761,0.0,0.0,0.0,1,1,1,1,1,1,12.99388888888889,1,2867.4397222222224
7764,0.42000000000000004,0.48,0.4671005917159764,2,2,3,2,2,2,66.2154012345679,0,
7765,0.17999999999999994,0.0,0.0,2,0,1,0,1,0,16.933827160493827,1,1475.5508333333332
7766,0.33999999999999986,0.0,0.1791049382716049,3,1,4,1,3,1,35.50030864197531,0,
7767,0.17999999999999994,0.0,0.212140306658265,2,1,4,1,2,1,15.30212962962963,1,1654.8497222222222
7768,0.0,0.0,0.0,1,1,1,1,1,1,19.604753086419752,0,
7770,0.4600000000000001,0.56,0.33890221492796924,3,3,3,3,3,3,136.4216049382716,0,
7778,0.17999999999999994,0.0,0.5426735079665137,2,1,4,1,2,1,198.07725308641974,1,9323.42888888889
7783,0.54,0.5,0.3815224913494809,3,2,4,2,3,2,1538.1920987654323,0,
7786,0.48,0.5,0.634527280299875,2,2,3,2,2,2,188.14672839506173,0,
7787,0.31999999999999984,0.0,0.4744907157021814,2,1,4,1,2,1,2074.155462962963,0,
7792,0.42000000000000004,0.48,0.3379881656804733,2,2,2,2,2,2,112.95354938271605,1,6138.804166666667
7793,0.0,0.0,0.59419942338398,1,1,4,1,1,1,196.03814814814817,0,
7795,0.0,0.0,0.5932747650280071,1,1,5,1,1,1,245.96811728395062,0,
7813,0.0,0.0,0.0,1,1,1,1,1,1,1206.3087345679012,0,
7820,0.0,0.0,0.0,1,1,1,1,1,1,744.6100308641975,0,
7843,0.0,0.0,0.0,1,1,1,1,1,1,217.31237654320987,0,
8021,0.0,0.0,0.19753086419753085,1,1,2,1,1,1,93.30376543209877,0,
8028,0.0,0.0,0.0,1,1,1,1,1,1,897.0034567901234,0,
8379,0.0,0.0,0.0,1,1,0,1,0,0,0.0,0,
8439,0.6599999999999999,0.625,0.30428194555958676,3,3,4,3,3,3,1516.3581790123455,0,
