topic_id,frontiers,lambda_frontiers,non_adopters,nodes,edges
7152,29,0,29,1602,359163
7153,29,0,29,1602,359163
7154,29,0,29,1602,359163
7155,29,0,29,1602,359163
7156,29,0,29,1602,359163
7157,29,0,29,1602,359163
7160,29,0,29,1602,359163
7161,29,0,29,1602,359163
7162,29,0,29,1602,359163
7163,29,0,29,1602,359163
7164,29,0,29,1602,359163
7165,29,0,29,1602,359163
7171,29,0,29,1602,359163
7172,29,0,29,1602,359163
7173,29,0,29,1602,359163
7174,29,0,29,1602,359163
7176,29,0,29,1602,359163
7177,29,0,29,1602,359163
7178,29,0,29,1602,359163
7179,29,0,29,1602,359163
7180,29,0,29,1602,359163
7181,29,0,29,1602,359163
7182,148,0,148,356,11161
7183,29,0,29,1602,359163
7184,29,0,29,1602,359163
7185,29,0,29,1602,359163
7186,29,0,29,1602,359163
7187,29,0,29,1602,359163
7188,29,0,29,1602,359163
7190,29,0,29,1602,359163
7191,29,0,29,1602,359163
7192,1059,0,1059,1499,318626
7193,1250,0,1250,1574,350084
7194,790,2,788,1226,217592
7195,1033,0,1033,1371,265443
7196,29,0,29,1602,359163
7197,29,0,29,1602,359163
7198,29,0,29,1602,359163
7199,29,0,29,1602,359163
7200,29,0,29,1602,359163
7202,29,0,29,1602,359163
7205,29,0,29,1602,359163
7206,29,0,29,1602,359163
7207,29,0,29,1602,359163
7209,29,0,29,1602,359163
7211,29,0,29,1602,359163
7214,29,0,29,1602,359163
7216,29,0,29,1602,359163
7217,29,0,29,1602,359163
7218,29,0,29,1602,359163
7219,8,0,8,1525,328528
7220,53,0,53,1602,359163
7221,1207,3,1204,1597,358321
7222,997,0,997,1246,223476
7224,1210,1,1209,1546,338043
7225,883,0,883,1276,232229
7226,1155,0,1155,1541,335247
7227,29,0,29,1602,359163
7228,199,0,199,401,15874
7229,162,0,162,1546,338043
7230,122,0,122,1602,359163
7232,893,1,892,1246,223476
7233,29,0,29,1602,359163
7235,74,0,74,1602,359163
7236,159,0,159,1525,328528
7237,534,0,534,1525,328528
7238,1011,1,1010,1401,277922
7239,947,0,947,1226,217592
7240,68,0,68,1602,359163
7241,29,0,29,1602,359163
7242,29,0,29,1602,359163
7243,29,0,29,1602,359163
7244,29,0,29,1602,359163
7245,29,0,29,1602,359163
7246,29,0,29,1602,359163
7247,29,0,29,1602,359163
7248,29,0,29,1602,359163
7249,29,0,29,1602,359163
7250,1061,2,1059,1285,235379
7252,968,1,967,1246,223476
7253,744,0,744,1087,174299
7254,29,0,29,1602,359163
7256,497,0,497,821,99972
7257,29,0,29,1602,359163
7259,29,0,29,1602,359163
7260,29,0,29,1602,359163
7262,29,0,29,1602,359163
7263,29,0,29,1602,359163
7264,29,0,29,1602,359163
7268,29,0,29,1602,359163
7269,29,0,29,1602,359163
7270,6,0,6,1476,310168
7272,978,1,977,1285,235379
7273,29,0,29,1602,359163
7274,29,0,29,1602,359163
7275,29,0,29,1602,359163
7278,775,0,775,1403,278387
7280,29,0,29,1602,359163
7281,29,0,29,1602,359163
7282,29,0,29,1602,359163
7284,53,0,53,257,3832
7285,29,0,29,1602,359163
7286,1008,0,1008,1405,279232
7287,1017,0,1017,1246,223476
7288,513,0,513,1472,308376
7290,29,0,29,1602,359163
7292,29,0,29,1602,359163
