topic_id,gini_impurity_adopters,gini_impurity_lambda_frontiers,gini_impurity_lambda_non_adopters,num_communities_adopters,num_communities_lambda_frontiers,num_communities_lambda_non_adopters,overlap_adopters_lambda_frontiers,overlap_adopters_lambda_non_adopters,overlap_lambda_frontiers_lambda_non_adopters,avg_time_to_adoption,virality,delta_t
7182,0.0,0.0,0.0,1,1,1,1,1,1,393.5132098765432,0,
7192,0.17999999999999994,0.0,0.4998107698961938,2,1,3,1,2,1,956.5796913580248,0,
7221,0.17999999999999994,0.0,0.0,2,1,1,1,1,1,16.79320987654321,1,1628.1866666666667
7225,0.17999999999999994,0.0,0.024092801903628835,2,1,2,1,2,1,16.865617283950616,1,1671.5416666666667
7228,0.17999999999999994,0.0,0.0,2,1,1,1,1,1,261.1960802469136,1,20942.59388888889
7238,0.0,0.0,0.42110988093156965,1,1,3,1,1,1,13.38320987654321,0,
7239,0.0,0.0,0.0,1,1,1,1,1,1,27.104506172839507,1,9114.85611111111
7253,0.58,0.6666666666666667,0.2599986635036252,3,3,3,3,3,3,87.15052469135802,0,
7278,0.31999999999999984,0.0,0.49539886875850614,2,1,3,1,2,1,795.3803703703704,0,
7286,0.5,0.31999999999999984,0.592143412380591,2,2,3,2,2,2,380.5175308641975,0,
7300,0.33999999999999986,0.4444444444444444,0.24797866666666668,3,2,3,2,3,2,351.82456790123456,0,
7316,0.0,0.0,0.015036730945821919,1,1,2,1,1,1,64.95820987654321,0,
7318,0.48,0.0,0.4004344033185564,2,1,3,1,2,1,582.0528395061729,0,
7337,0.17999999999999994,0.0,0.0,2,1,1,1,1,1,192.77484567901237,1,13003.203611111112
7343,0.54,0.375,0.5020874201498919,3,2,3,2,3,2,18.464166666666667,0,
7345,0.33999999999999986,0.0,0.044752636792727785,3,1,2,1,2,1,255.8920061728395,1,8615.191666666668
7377,0.48,0.0,0.29079861111111105,2,1,3,1,2,1,1709.1625925925925,0,
7393,0.62,0.4444444444444444,0.59375,3,2,3,2,3,2,1402.0337654320988,0,
7469,0.5,0.4444444444444444,0.4582136433192838,2,2,3,2,2,2,192.18595679012347,0,
7508,0.5,0.5,0.41633683837429125,2,2,3,2,2,2,192.17743827160493,0,
7545,0.0,0.0,0.0,1,1,1,1,1,1,307.412962962963,0,
7546,0.0,0.0,0.0,1,1,1,1,1,1,140.95175925925926,1,13585.4875
7568,0.31999999999999984,0.2777777777777777,0.3076532434040865,2,2,3,2,2,2,115.21898148148148,0,
7574,0.54,0.5,0.3680732397006672,3,2,3,2,3,2,42.92188271604938,0,
7580,0.54,0.0,0.4621556709468798,3,1,3,1,3,1,15.38895061728395,0,
7587,0.48,0.4444444444444444,0.5687299713273739,2,2,3,2,2,2,11.922098765432098,0,
